key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:spokesperson
#endMoment - no singular values,,,,,,,,,,,,,,,,,
#moreInfo - standard variations,,,,,,,,,,,,,,,,,
campaign-27,TICKER-18,A,AA,2026/09/02 09:00,2027/09/02 09:00,hola,TRUE,spokesperson-01
campaign-28,TICKER-19,A,AA,2026/09/02 09:00,2027/09/02 09:00,http//example.com,TRUE,spokesperson-01
campaign-29,TICKER-20,A,AA,2026/09/02 09:00,2027/09/02 09:00,http:/example.com,TRUE,spokesperson-01
campaign-30,TICKER-21,A,AA,2026/09/02 09:00,2027/09/02 09:00,mailto:test@test.com,TRUE,spokesperson-01
campaign-31,TICKER-22,A,AA,2026/09/02 09:00,2027/09/02 09:00,https://example.com/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,TRUE,spokesperson-01
campaign-32,TICKER-23,A,AA,2026/09/02 09:00,2027/09/02 09:00,http://localhost,TRUE,spokesperson-01
#moreInfo - no singular values,,,,,,,,,,,,,,,,,,
#draftMode - standard variations,,,,,,,,,,,,,,,,
campaign-33,TICKER-24,A,AA,2026/09/02 09:00,2027/09/02 09:00,http://lorem.com/ipsum,FALSE,spokesperson-01
#draftMode - no singular values,,,,,,,,,,,,,,,,,
#spokesperson - standard variations,,,,,,,,,,,,,
campaign-36,TICKER-27,A,AA,2026/09/02 09:00,2027/09/02 09:00,http://lorem.com/ipsum,TRUE,


























