key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:fundraiser
strategy-23,FR23-MKIUYT,"Vestibulum id ligula porta felis euis!",<marquee>Hacked</marquee>,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-24,FR24-798546,"Vestibulum id ligula porta felis euis!",<script>alert('Hacked!');</script>,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-25,FR25-798545,"Vestibulum id ligula porta felis euis!",' or 'A' = 'A,2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
#prueba start-moment,"","","","","","","",""
strategy-26,FR26-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2000/01/01 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-27,FR27-HDHDH1,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2024/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-28,FR28-DHHDHD,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2024/01/08 0:01,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-29,FR29-YTGFV2,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2200/12/31 23:58,2200/12/31 23:59,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-30,FR30-YTGFVF,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2200/01/01 0:00,2200/01/01 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
#prueba end-moment,"","","","","","","",""
strategy-31,FR31-YTGFV3,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2000/01/01 0:00,2000/01/01 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-32,FR32-YTGFV4,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2024/01/04 0:00,2024/01/08 0:00,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-33,FR33-YTGFV5,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2024/01/08 0:00,2024/01/08 0:01,http://dummy.org/ipsum,TRUE,fundraiser-02
strategy-34,FR34-YTGFV6,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2100/12/31 23:59,2200/12/31 23:59,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-35,FR35-YTGFV7,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2200/12/31 23:58,2200/12/31 23:59,http://dummy.org/ipsum,TRUE,fundraiser-02
#prueba more-info,"","","","","","","",""
strategy-36,FR36-YTGFV8,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE,fundraiser-01
strategy-37,FR37-YTGFV9,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://a.b,TRUE,fundraiser-02
strategy-38,FR38-YTGFVA,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",TRUE,fundraiser-01
strategy-39,FR39-YTGFVD,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",TRUE,fundraiser-02
strategy-40,FR40-YTGFVE,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://www.lorem-ipsum.org,TRUE,fundraiser-01
strategy-41,FR41-YTGFVG,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,https://www.lorem-ipsum.org,TRUE,fundraiser-02
strategy-42,FR42-YTGFVH,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://www.lorem-ipsum.org/dolor/sit.html,TRUE,fundraiser-01
strategy-43,FR43-YTGFVI,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://www.lorem-ipsum.org/dolor/sit.html#dolor,TRUE,fundraiser-02
strategy-44,FR44-YTGFVJ,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org?a=1&b=2,TRUE,fundraiser-01
strategy-45,FR45-YTGFVK,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org?,TRUE,fundraiser-02
strategy-46,FR46-YTGFVL,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org?a,TRUE,fundraiser-01
strategy-47,FR47-YTGFVM,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org?a&b,TRUE,fundraiser-02
strategy-48,FR48-YTGFVN,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/,TRUE,fundraiser-01
strategy-49,FR49-YTGFVO,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/a,TRUE,fundraiser-02
strategy-50,FR50-YTGFVP,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/a/b,TRUE,fundraiser-01
strategy-51,FR51-YTGFVQ,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/a/b?,TRUE,fundraiser-02
strategy-52,FR52-YTGFVR,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/a/b?a&b,TRUE,fundraiser-01
#prueba draft-mode,"","","","","","","",""
strategy-53,FR53-YTFVBFALS,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2025/01/02 0:00,2025/01/02 0:01,http://dummy.org/ipsum,FALSE,fundraiser-02
strategy-54,FR54-YGFVBFALS,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2025/12/31 23:58,2025/12/31 23:59,http://dummy.org/ipsum,FALSE,fundraiser-01
strategy-55,FR55-YGFVBUPP1,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2199/12/31 23:58,2200/01/01 0:00,http://dummy.org/ipsum,FALSE,fundraiser-02
strategy-56,FR56-YGFVBUPP2,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2200/12/31 23:58,2200/12/31 23:59,http://dummy.org/ipsum,FALSE,fundraiser-01
