key,key:inventor,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
#probar Info,"","","","","","",""
invention-33,inventor-01,YU13-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,TRUE
invention-34,inventor-02,YU14-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://a.b,TRUE
invention-35,inventor-01,YU15-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",TRUE
invention-36,inventor-02,YU16-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",TRUE
invention-37,inventor-01,YU17-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://www.lorem-ipsum.org,TRUE
invention-38,inventor-02,YU18-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,https://www.lorem-ipsum.org,TRUE
invention-39,inventor-01,YU19-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://www.lorem-ipsum.org/dolor/sit.html,TRUE
invention-40,inventor-02,YU20-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://www.lorem-ipsum.org/dolor/sit.html#dolor,TRUE
invention-41,inventor-01,YU21-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org?a=1&b=2,TRUE
invention-42,inventor-02,YU22-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org?,TRUE
invention-43,inventor-01,YU23-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org?a,TRUE
invention-44,inventor-02,YU24-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org?a&b,TRUE
invention-45,inventor-01,YU88-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/,TRUE
invention-46,inventor-02,YU89-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/a,TRUE
invention-47,inventor-01,YU90-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/a/b,TRUE
invention-48,inventor-02,YU91-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/a/b?,TRUE
invention-49,inventor-01,YU92-YTGFVB,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://example.org/a/b?a&b,TRUE
#probar draftmode,"","","","",""
invention-50,inventor-02,YU93-YTFVBFALSE,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,FALSE
invention-51,inventor-01,YU94-YGFVBFALSE,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",2027/01/08 0:00,2027/01/14 0:01,http://dummy.org/ipsum,FALSE
